route_id,service_id,trip_id,trip_headsign
Shuttle6,Weekday,Shuttle6_1_1,氷見市民病院
Shuttle6,Weekday,Shuttle6_1_2,氷見市民病院
Shuttle6,Weekday,Shuttle6_1_3,灘浦海岸・脇
Shuttle6,Weekday,Shuttle6_1_4,石動駅前
Shuttle6,Weekday,Shuttle6_1_5,高岡駅前
Shuttle6,Weekday,Shuttle6_1_6,国吉
Shuttle6,Weekday,Shuttle6_1_7,高岡駅南口
Shuttle6,Weekday,Shuttle6_1_8,氷見市民病院
Shuttle6,Weekday,Shuttle6_1_9,海王丸パーク
Shuttle6,Weekday,Shuttle6_1_10,高岡駅前
Shuttle6,Weekday,Shuttle6_1_11,城光寺運動公園
Shuttle6,Weekday,Shuttle6_1_12,高岡駅前
Shuttle6,Weekday,Shuttle6_1_13,勝木原
Shuttle6,Weekday,Shuttle6_1_14,石動駅前
Shuttle6,Weekday,Shuttle6_1_15,高岡駅前
Shuttle6,Weekday,Shuttle6_1_16,氷見市民病院
Shuttle6,Weekday,Shuttle6_1_17,高岡駅前
Shuttle6,Weekday,Shuttle6_1_18,氷見市民病院
Shuttle6,Weekday,Shuttle6_1_19,城光寺運動公園
Shuttle6,Weekday,Shuttle6_1_20,灘浦海岸・脇
Shuttle6,Weekday,Shuttle6_1_21,磯はなび
Shuttle6,Weekday,Shuttle6_1_22,高岡駅南口
Shuttle6,Weekday,Shuttle6_1_23,高岡駅前
Shuttle6,Weekday,Shuttle6_1_24,氷見市民病院
Shuttle6,Weekday,Shuttle6_1_25,城光寺運動公園
Shuttle6,Weekday,Shuttle6_1_26,国吉
Shuttle6,Weekday,Shuttle6_1_27,海王丸パーク
Shuttle6,Weekday,Shuttle6_1_28,灘浦海岸・脇
Shuttle6,Weekday,Shuttle6_1_29,高岡駅前
Shuttle6,Weekday,Shuttle6_1_30,高岡駅前
Shuttle6,Weekday,Shuttle6_1_31,氷見市民病院
Shuttle6,Weekday,Shuttle6_1_32,石動駅前
Shuttle6,Weekday,Shuttle6_1_33,高岡駅前
Shuttle6,Weekday,Shuttle6_1_34,氷見市民病院
Shuttle6,Weekday,Shuttle6_1_35,灘浦海岸・脇
Shuttle6,Weekday,Shuttle6_1_36,国吉
Shuttle6,Weekday,Shuttle6_1_37,高岡駅前
Shuttle6,Weekday,Shuttle6_1_38,高岡駅南口
Shuttle6,Weekday,Shuttle6_1_39,勝木原
Shuttle6,Weekday,Shuttle6_1_40,高岡駅前
Shuttle6,Weekday,Shuttle6_1_41,城光寺運動公園
Shuttle6,Weekday,Shuttle6_1_42,氷見市民病院
Shuttle6,Weekday,Shuttle6_1_43,海王丸パーク
Shuttle6,Weekday,Shuttle6_1_44,氷見市民病院
Shuttle6,Weekday,Shuttle6_1_45,高岡駅前
Shuttle6,Weekday,Shuttle6_1_46,石動駅前
Shuttle6,Weekday,Shuttle6_1_47,高岡駅南口
Shuttle6,Weekday,Shuttle6_1_48,灘浦海岸・脇
Shuttle6,Weekday,Shuttle6_1_49,高岡駅前
Shuttle6,Weekday,Shuttle6_1_50,氷見市民病院
Shuttle6,Weekday,Shuttle6_1_51,氷見市民病院
Shuttle6,Weekday,Shuttle6_1_52,高岡駅前
Shuttle6,Weekday,Shuttle6_1_53,城光寺運動公園
Shuttle6,Weekday,Shuttle6_1_54,国吉
Shuttle6,Weekday,Shuttle6_1_55,高岡駅前
Shuttle6,Weekday,Shuttle6_1_56,磯はなび
Shuttle6,Weekday,Shuttle6_1_57,氷見市民病院
Shuttle6,Weekday,Shuttle6_1_58,海王丸パーク
Shuttle6,Weekday,Shuttle6_1_59,石動駅前
Shuttle6,Weekday,Shuttle6_1_60,氷見市民病院
Shuttle6,Weekday,Shuttle6_1_61,高岡駅前
Shuttle6,Weekday,Shuttle6_1_62,城光寺運動公園
Shuttle6,Weekday,Shuttle6_1_63,高岡駅南口
Shuttle6,Weekday,Shuttle6_1_64,氷見市民病院
Shuttle6,Weekday,Shuttle6_1_65,西回り伏木循環
Shuttle6,Weekday,Shuttle6_1_66,氷見市民病院
Shuttle6,Weekday,Shuttle6_1_67,氷見市民病院
Shuttle6,Weekday,Shuttle6_1_68,高岡駅前
Shuttle6,Weekday,Shuttle6_1_69,勝木原
Shuttle6,Weekday,Shuttle6_1_70,二上団地前
Shuttle6,Weekday,Shuttle6_1_71,高岡駅前
Shuttle6,Weekday,Shuttle6_1_72,石動駅前
